#{"t_start": 1773725816.4837217, "env_id": "None"}
r,l,t
-2129.131569,114,218.498288
-4014.054748,300,218.650686
-8833.99723,300,218.815388
-7702.091466,300,218.966858
-8428.261342,300,219.116527
-5907.759901,300,220.283308
-6367.984678,300,220.457918
-8389.951803,300,220.613583
-3104.719806,300,220.765645
-6751.593875,300,220.931362
-4495.403817,300,221.11188
-7159.506077,300,221.266896
-3190.318867,300,222.469276
-4041.877954,300,222.643187
-5499.227646,300,222.799773
-10769.077173,300,222.964041
-5800.84659,300,223.12078
-7429.50607,300,223.272891
-8228.62854,300,223.423985
-3673.401469,300,224.636546
-5075.382837,300,224.83787
-4794.822732,300,225.030526
-4980.64897,300,225.195818
-6777.234922,300,225.354447
-3735.085997,300,225.516587
-5661.358482,300,225.683835
-4549.896801,300,226.881133
-5660.180423,300,227.042096
-1054.137758,84,227.084593
-6294.617257,300,227.249377
-5687.816683,300,227.399161
-5907.624938,300,227.549185
-4343.313017,300,227.700556
-6609.635537,300,228.869017
-8125.054096,300,229.045858
-6764.722908,300,229.20033
-967.891095,91,229.246669
-4777.043243,300,229.411498
-5119.039886,300,229.562521
-6966.234494,300,229.714292
-8004.299721,300,229.877164
-1919.391723,141,230.94768
-5052.532606,300,231.126729
-5415.901745,300,231.280416
-7405.261747,300,231.44723
-140.155057,23,231.459959
-5396.138138,300,231.610313
-6926.954601,300,231.763061
-7486.10376,300,231.933065
-6520.683827,300,233.099737
-5786.190347,300,233.273417
-6253.067762,300,233.42572
-6937.875101,300,233.612021
-4867.808256,300,233.762873
-5808.090007,300,233.912683
-9754.199443,300,234.075263
-6144.801648,300,235.233511
-4031.670828,300,235.396472
-5181.944497,300,235.561471
-7526.981362,300,235.718466
-4773.28584,300,235.868441
-4469.627594,300,236.02043
-6847.192959,289,236.187546
-6307.294341,300,237.356354
-4600.901,300,237.519398
-5195.668783,300,237.684315
-7199.262446,300,237.836681
-8952.880118,300,237.989361
-3501.249173,300,238.153913
-10871.00605,300,238.303355
-3794.894421,300,239.47651
-5381.744561,300,239.638229
-4992.599419,300,239.803916
-4041.392655,300,239.956861
-5293.791152,300,240.105616
-6009.016707,300,240.267881
-1045.292315,105,240.320404
-4227.975788,214,241.431126
-5389.965497,300,241.610534
-5873.886114,300,241.775395
-6749.83229,300,241.929788
-3772.57309,300,242.079298
-6761.062576,300,242.228818
-3054.236406,300,242.393035
-3093.141038,190,242.493979
-6408.040435,300,243.664511
-4988.319329,300,243.835971
-5779.981034,300,243.990963
-4382.536502,300,244.14295
-7960.873453,300,244.293752
-8444.744139,300,244.455508
-7494.758682,300,245.785457
-5730.96927,300,245.985703
-6807.94643,300,246.181723
-3795.334481,300,246.37979
-7497.499535,300,246.529418
-5782.732273,300,246.693338
-8375.315506,300,246.846042
-5161.529096,300,248.002069
-4896.257992,300,248.176414
-4204.581939,300,248.338329
-5596.419006,300,248.486543
-6649.371279,300,248.63551
-8004.556195,300,248.799273
-5748.092504,300,248.94872
-7444.48574,300,250.1238
-9503.191885,300,250.313739
-5207.08699,300,250.466007
-4634.202289,300,250.614508
-3593.020289,300,250.767253
-6966.993631,300,250.930464
-3511.510329,300,251.077917
-3851.416658,300,252.233697
-2829.114762,237,252.382983
-5613.812863,300,252.534037
-6959.503149,300,252.684482
-7859.059112,300,252.831275
-5738.303271,300,253.006347
-6214.547404,300,253.157628
-3243.235168,199,254.264532
-5749.067732,300,254.450096
-8384.413984,300,254.603666
-10672.125336,300,254.753985
-8042.090174,300,254.901895
-3266.952504,300,255.063598
-4499.08649,300,255.213691
-5076.08539,300,256.381706
-5317.309115,300,256.568959
-10970.295409,300,256.720161
-7395.589745,300,256.867486
-6817.827051,300,257.030684
-4128.041278,300,257.181126
-7250.254417,300,257.331405
-7625.138887,300,258.503871
-5251.857553,300,258.691295
-4252.647435,300,258.842154
-5470.687426,300,258.99027
-6806.197211,300,259.149395
-6415.205448,300,259.303392
-4094.482015,300,259.449854
-4557.446757,300,260.645303
-6674.517391,300,260.808296
-4028.201715,287,260.953251
-6208.662815,300,261.103636
-6473.066286,300,261.268754
-4875.439989,300,261.421152
-4252.230303,300,261.571974
-4652.953356,300,262.766516
-4633.892655,300,262.926698
-5796.527793,300,263.0807
-5478.198286,300,263.24459
-4879.043828,300,263.399624
-5060.054506,300,263.551075
-4570.305916,300,264.711506
-6129.267889,300,264.902769
-2013.337887,126,264.972438
-8078.128297,300,265.125567
-7608.014773,300,265.287218
-6882.525446,300,265.439653
-4961.408978,300,265.595577
-3292.296901,300,265.75175
-6391.519379,300,266.932381
-9902.795,300,267.104734
-4407.635231,300,267.256304
-6737.649982,300,267.417391
-2444.361276,181,267.507587
-4377.023631,300,267.661434
-6734.177898,300,267.815717
-3629.531033,300,269.0029
-5268.090985,300,269.17373
-8881.034076,300,269.32649
-6107.584444,300,269.489255
-4597.532007,300,269.642231
-5019.025285,300,269.797381
-8607.63533,300,269.95043
-5561.229472,300,271.134295
-7585.427194,300,271.303631
-5184.702832,300,271.502661
-9439.248714,300,271.71798
-5922.661574,300,271.931941
-1951.024518,140,272.033759
